rxcui,drug_name,utilization_raw,utilization_score,utilization_percentile,spend_raw,spend_score,spend_percentile,disease_burden_raw,disease_burden_score,disease_burden_percentile,population_impact_raw,population_impact_score,population_impact_percentile,risk_raw,risk_score,risk_percentile,ehi_score,ehi_rank,ehi_percentile,ehi_tier,ehi_tier_label,primary_driver,secondary_driver,limiting_factor,methodology_version,calculation_date,source_coverage_flag
1125490,Xoten-C,59.62107128099695,21.6,21.6,222.70341751251294,95.26,95.26,13.975872204238463,3.18,3.18,76.79165769731136,57.22,57.22,39.35058120133731,73.32,73.32,46.85,3401,41.41,3,Operationally Relevant,Spend Intelligence,Risk Intelligence,Disease Burden Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
1147530,Mycinaire,130.44544444146857,76.21,76.21,143.09269715408462,77.49,77.49,181.57457690272062,96.57,96.57,6.053238138610856,1.08,1.08,43.66456593013996,77.81,77.81,69.49,1145,91.92,2,Strategically Important,Disease Burden Intelligence,Risk Intelligence,Population Impact Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
1148409,Inflammation OTC Deep Pain Care,27.647822769496454,2.45,2.45,152.98778250978717,80.99,80.99,87.70909622814193,67.97,67.97,37.38455860000768,23.8,23.8,7.240408641075296,13.47,13.47,39.49,4137,23.01,4,Limited Enterprise Impact,Spend Intelligence,Disease Burden Intelligence,Utilization Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
1189157,MyoGesic-CS,47.39335745509943,12.07,12.07,263.30739005478455,97.94,97.94,23.64356917651155,9.56,9.56,32.945326218377005,19.82,19.82,48.67805394638986,82.22,82.22,41.21,3965,26.89,4,Limited Enterprise Impact,Spend Intelligence,Risk Intelligence,Disease Burden Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
1191711,Neutramaxx,95.56890654809158,53.01,53.01,136.68463598084358,74.74,74.74,141.45195054403112,90.73,90.73,59.97362094404265,43.92,43.92,56.05712954980193,86.96,86.96,68.02,1288,90.16,2,Strategically Important,Disease Burden Intelligence,Risk Intelligence,Population Impact Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
1192919,Enemeez,125.38090573151928,73.42,73.42,25.648794925521152,3.83,3.83,62.276186818850555,47.12,47.12,90.43196143261399,65.91,65.91,32.840984832662045,65.03,65.03,48.8,3206,46.7,3,Operationally Relevant,Utilization Intelligence,Population Impact Intelligence,Spend Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
1192943,Omni Gel,97.82791622681125,54.77,54.77,67.52164270754655,30.31,30.31,122.48309251202174,85.58,85.58,89.69041561478579,65.51,65.51,85.85129588905946,96.37,96.37,60.59,2027,77.26,2,Strategically Important,Risk Intelligence,Disease Burden Intelligence,Spend Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
1193236,Zooby Fluoride Foam,118.12192710292987,69.21,69.21,133.58252365147138,73.43,73.43,58.2520837368573,43.31,43.31,32.53931295029838,19.49,19.49,10.610067897957938,21.62,21.62,52.87,2799,57.94,3,Operationally Relevant,Spend Intelligence,Utilization Intelligence,Population Impact Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
1232422,Wellpatch Backache Relief,73.84827588820382,34.0,34.0,85.29428422756746,43.88,43.88,120.82938914538778,84.93,84.93,39.70742677402843,25.92,25.92,30.647108244236833,61.73,61.73,48.22,3264,45.1,3,Operationally Relevant,Disease Burden Intelligence,Risk Intelligence,Population Impact Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
1233678,E-Z Scrub,26.2282513003991,2.09,2.09,89.02742729252597,46.48,46.48,106.35718961270778,78.88,78.88,147.85317941805414,88.15,88.15,50.3366574161539,83.43,83.43,49.59,3127,48.9,3,Operationally Relevant,Population Impact Intelligence,Risk Intelligence,Utilization Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
1233713,Percogesic Backache,78.8536942022273,38.52,38.52,187.4007906940187,90.23,90.23,31.525114210638797,16.65,16.65,170.1445173884234,92.57,92.57,30.245522429456834,61.14,61.14,57.44,2342,69.96,3,Operationally Relevant,Population Impact Intelligence,Spend Intelligence,Disease Burden Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
1234590,Clearskin Professional Daily Correcting,79.81492349288905,39.34,39.34,91.02098997830636,47.89,47.89,108.0135383663647,79.67,79.67,120.65410553982332,80.21,80.21,23.5274734935712,49.97,49.97,56.74,2412,68.27,3,Operationally Relevant,Population Impact Intelligence,Disease Burden Intelligence,Utilization Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
1235201,Clenziderm,161.7676590815771,88.52,88.52,147.31245002466224,78.99,78.99,22.41586852544843,8.6,8.6,56.35760271241822,40.83,40.83,55.09878666487026,86.34,86.34,62.78,1809,81.78,2,Strategically Important,Utilization Intelligence,Risk Intelligence,Disease Burden Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
1236099,hiVETIC,129.14240544356127,75.53,75.53,45.93648342387369,14.54,14.54,189.1304403075961,97.23,97.23,116.26007139408877,78.42,78.42,8.861952237943338,17.19,17.19,59.22,2164,74.25,3,Operationally Relevant,Disease Burden Intelligence,Population Impact Intelligence,Spend Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
1236620,Clenziderm Lotion,49.74681237570189,13.68,13.68,95.46917672775656,51.06,51.06,13.435282181109365,2.9,2.9,47.140941089163974,32.75,32.75,9.897058882679204,19.82,19.82,24.34,5589,2.75,4,Limited Enterprise Impact,Spend Intelligence,Population Impact Intelligence,Disease Burden Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
1237019,Therastat,21.87911004149776,1.16,1.16,126.24283731229248,69.91,69.91,123.07733718187185,85.74,85.74,63.16011392016993,46.65,46.65,25.681843353192633,53.84,53.84,47.36,3350,42.72,3,Operationally Relevant,Disease Burden Intelligence,Spend Intelligence,Utilization Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
1237026,Thoracol,86.57776396070874,45.27,45.27,79.3939924488089,39.48,39.48,63.9861255071622,48.69,48.69,46.26148678646533,31.88,31.88,55.864703784330594,86.82,86.82,46.65,3421,40.89,3,Operationally Relevant,Risk Intelligence,Disease Burden Intelligence,Population Impact Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
1245091,Nioxin,68.37238927875872,29.11,29.11,100.0601111829668,54.26,54.26,88.06259967056423,68.24,68.24,83.88616009221407,62.05,62.05,63.334055508183944,90.44,90.44,54.3,2656,61.96,3,Operationally Relevant,Risk Intelligence,Disease Burden Intelligence,Utilization Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
1245741,Podocon,198.3630489230073,95.56,95.56,62.39628107254492,26.25,26.25,46.73237335803851,31.8,31.8,61.66993699012639,45.44,45.44,21.46621604032747,46.15,46.15,53.02,2784,58.4,3,Operationally Relevant,Utilization Intelligence,Risk Intelligence,Spend Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
1251208,Supreme,164.24835787106412,89.2,89.2,137.60069039237666,75.13,75.13,111.94780669738391,81.46,81.46,124.35819867762432,81.58,81.58,59.95505709289173,88.92,88.92,82.96,138,99.45,1,Enterprise Critical,Utilization Intelligence,Risk Intelligence,Spend Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
1251406,Actidose,42.737269894942045,9.17,9.17,31.42976723950518,6.15,6.15,166.45027662561534,95.02,95.02,173.75773178305505,93.17,93.17,3.3166249712093734,4.66,4.66,37.73,4313,19.32,4,Limited Enterprise Impact,Disease Burden Intelligence,Population Impact Intelligence,Risk Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
1251558,clear days ahead,127.2089979412343,74.39,74.39,91.79748894272971,48.45,48.45,56.37995338847409,41.41,41.41,44.66502907015109,30.43,30.43,26.458083352582666,55.21,55.21,52.8,2806,57.73,3,Operationally Relevant,Utilization Intelligence,Risk Intelligence,Population Impact Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
1291129,Bactoshield,117.3285541603901,68.62,68.62,46.11385915783829,14.64,14.64,73.31033817412191,56.92,56.92,50.59800788544387,35.82,35.82,10.96951898820521,22.49,22.49,43.25,3761,31.88,4,Limited Enterprise Impact,Utilization Intelligence,Disease Burden Intelligence,Spend Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
1292444,Myhelper,115.09418834957563,67.18,67.18,277.02670911977947,98.42,98.42,119.70460572137158,84.52,84.52,32.76398577967595,19.69,19.69,14.27686567224286,30.5,30.5,67.67,1322,89.65,2,Strategically Important,Spend Intelligence,Disease Burden Intelligence,Population Impact Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
1298840,flunisolide hemihydrate,291.27666455595454,99.72,99.72,63.103715642554874,26.75,26.75,66.06146324684072,50.61,50.61,215.30520283609903,97.1,97.1,38.54260989803902,72.42,72.42,68.53,1240,90.73,2,Strategically Important,Utilization Intelligence,Population Impact Intelligence,Spend Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
1299055,Clarus,88.06771036154359,46.59,46.59,130.8003642423839,72.08,72.08,57.508581226287205,42.53,42.53,60.04171661419989,43.98,43.98,7.457845167690527,13.96,13.96,48.5,3236,45.86,3,Operationally Relevant,Spend Intelligence,Utilization Intelligence,Risk Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
1299649,Selsun Blue Naturals,134.96402506448462,78.48,78.48,55.920516243815975,21.41,21.41,51.82622064564381,36.71,36.71,75.69223306155011,56.46,56.46,56.64071318807587,87.32,87.32,53.44,2742,59.68,3,Operationally Relevant,Risk Intelligence,Utilization Intelligence,Spend Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
1300289,Alo,144.38662206060053,82.5,82.5,78.69445939436184,38.97,38.97,61.68633610861422,46.58,46.58,44.619956983387105,30.39,30.39,23.884201930275474,50.55,50.55,53.42,2744,59.63,3,Operationally Relevant,Utilization Intelligence,Risk Intelligence,Population Impact Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
1300371,Cidacin,110.24235948832577,64.0,64.0,128.0569681057136,70.83,70.83,73.60745766314906,57.17,57.17,55.99088451823072,40.53,40.53,37.92643347672509,71.72,71.72,61.59,1928,79.43,2,Strategically Important,Risk Intelligence,Spend Intelligence,Population Impact Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
1303354,Denorex Extra Strength Reformulated Aug 2012,197.04472473411812,95.33,95.33,28.142564328249463,4.79,4.79,69.45522612136581,53.62,53.62,65.09979141186614,48.2,48.2,3.5476909746326495,5.12,5.12,48.26,3260,45.2,3,Operationally Relevant,Utilization Intelligence,Disease Burden Intelligence,Spend Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
1304248,Duraflor,102.2140988922685,58.31,58.31,62.31377170834653,26.16,26.16,137.43847685830758,89.8,89.8,119.39206699899181,79.7,79.7,38.55547332548347,72.43,72.43,61.19,1967,78.65,2,Strategically Important,Disease Burden Intelligence,Population Impact Intelligence,Spend Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
1306906,Rocainol,140.62768955700972,80.95,80.95,46.4342816087617,14.85,14.85,76.7828845369251,59.56,59.56,186.77420127497098,94.75,94.75,32.268092948934715,64.25,64.25,60.55,2031,77.15,2,Strategically Important,Population Impact Intelligence,Utilization Intelligence,Spend Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
1309402,floxacillin sodium monohydrate,63.499199089818745,24.9,24.9,186.0751925435612,89.92,89.92,91.07742561598138,70.17,70.17,41.16930171794611,27.17,27.17,51.78304089513931,84.38,84.38,56.5,2436,67.64,3,Operationally Relevant,Spend Intelligence,Risk Intelligence,Utilization Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
1311202,Super Spot Remover,47.18913219517702,11.92,11.92,109.90682107251266,60.68,60.68,52.96327110851973,37.99,37.99,60.17366452904527,44.09,44.09,31.50960254695479,63.04,63.04,39.26,4160,22.47,4,Limited Enterprise Impact,Risk Intelligence,Spend Intelligence,Utilization Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
1311217,Proclearz,120.18748995597173,70.53,70.53,206.5651339452321,93.45,93.45,78.294686768749,60.77,60.77,140.5663798889617,86.38,86.38,11.069008375569197,22.74,22.74,71.91,910,94.47,2,Strategically Important,Spend Intelligence,Population Impact Intelligence,Risk Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
1312432,Rilexine,90.3611292921979,48.57,48.57,142.7312459848216,77.35,77.35,79.55616366585765,61.78,61.78,153.20420816646393,89.35,89.35,49.07280639608554,82.56,82.56,67.92,1298,90.04,2,Strategically Important,Population Impact Intelligence,Risk Intelligence,Utilization Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
1312993,Bensal,93.05464946116925,50.87,50.87,97.82201172564248,52.77,52.77,84.0203679840703,65.35,65.35,3.6584910647164897,0.38,0.38,53.8511162788289,85.58,85.58,50.14,3072,50.57,3,Operationally Relevant,Risk Intelligence,Disease Burden Intelligence,Population Impact Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
1313878,Nasadrops,77.82819471979275,37.64,37.64,95.77532030181338,51.29,51.29,50.529887422320535,35.42,35.42,68.47304946993033,50.87,50.87,17.89225113536053,38.77,38.77,42.71,3815,30.61,4,Limited Enterprise Impact,Spend Intelligence,Population Impact Intelligence,Disease Burden Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
1314870,Murine Dry Eyes,139.09601327094165,80.34,80.34,239.58206820314905,96.72,96.72,54.91435801430419,39.98,39.98,100.41777055232926,71.38,71.38,26.580979926690603,55.41,55.41,72.53,854,95.07,1,Enterprise Critical,Spend Intelligence,Utilization Intelligence,Disease Burden Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
1356075,Backaid,101.27194810179697,57.58,57.58,261.7226854514781,97.87,97.87,50.70621435637414,35.56,35.56,51.90178599699507,36.95,36.95,33.98262275439883,66.67,66.67,61.06,1980,78.38,2,Strategically Important,Spend Intelligence,Risk Intelligence,Disease Burden Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
1356534,Fungifoam,247.69922824885077,98.93,98.93,158.91709860468205,82.93,82.93,26.938767495793517,12.44,12.44,73.07257595202304,54.4,54.4,41.93077139134546,76.06,76.06,68.67,1226,90.92,2,Strategically Important,Utilization Intelligence,Spend Intelligence,Disease Burden Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
1358863,Nutralox,99.57703452358892,56.2,56.2,122.9470166126081,68.09,68.09,83.6318872420877,65.06,65.06,48.256089322354114,33.82,33.82,21.598979038086878,46.43,46.43,56.61,2425,67.92,3,Operationally Relevant,Spend Intelligence,Disease Burden Intelligence,Population Impact Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
1362034,FungiCure Maximum Strength,112.9274639957121,65.8,65.8,78.16415664250053,38.55,38.55,129.6796420432523,87.6,87.6,57.40800086144432,41.78,41.78,24.696319180616285,52.12,52.12,58.38,2248,72.26,3,Operationally Relevant,Disease Burden Intelligence,Utilization Intelligence,Spend Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
1363553,PCxx Neutral Foam,147.70420592773107,83.74,83.74,117.03108355742631,64.81,64.81,58.80753990770019,43.86,43.86,16.059680919777644,6.15,6.15,48.75504005571741,82.3,82.3,59.25,2161,74.32,3,Operationally Relevant,Utilization Intelligence,Risk Intelligence,Population Impact Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
1365991,Fast Freeze Naturally Cool,119.77451392822206,70.29,70.29,72.74345403223582,34.48,34.48,61.09618016167812,46.06,46.06,96.79093439604813,69.45,69.45,8.580581203096184,16.46,16.46,50.98,2988,52.84,3,Operationally Relevant,Utilization Intelligence,Population Impact Intelligence,Risk Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
1366731,Prevantics,48.382701647251736,12.74,12.74,119.32250479190861,66.06,66.06,52.19056322283872,37.11,37.11,219.2361133858255,97.32,97.32,22.381311838840627,47.87,47.87,47.14,3372,42.12,3,Operationally Relevant,Population Impact Intelligence,Spend Intelligence,Utilization Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
1366962,prasterone sodium sulfate,83.57047136409241,42.64,42.64,169.0526149634411,85.97,85.97,115.74245149355508,83.03,83.03,112.0302466472527,76.68,76.68,22.851394452513443,48.71,48.71,67.26,1363,89.05,2,Strategically Important,Spend Intelligence,Disease Burden Intelligence,Utilization Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
1367371,Selsun Blue Sensitive Scalp,61.13330679918695,22.87,22.87,144.00638232027475,77.82,77.82,109.11217472649706,80.18,80.18,30.82536766279954,17.91,17.91,24.248802591167507,51.28,51.28,50.17,3069,50.66,3,Operationally Relevant,Disease Burden Intelligence,Spend Intelligence,Population Impact Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
1369778,Effaclar Duo,116.68281122618708,68.22,68.22,94.94206236383019,50.65,50.65,170.8022460475028,95.55,95.55,64.98187850806491,48.11,48.11,84.97014042805282,96.18,96.18,69.07,1187,91.43,2,Strategically Important,Risk Intelligence,Disease Burden Intelligence,Population Impact Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
1372555,Sore No More,106.11923720117602,61.07,61.07,76.90597635233789,37.58,37.58,100.46313527881725,75.89,75.89,46.02560936691481,31.64,31.64,3.095250956714442,4.22,4.22,48.06,3280,44.65,3,Operationally Relevant,Disease Burden Intelligence,Utilization Intelligence,Risk Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
1373145,Denorex Therapeutic Reformulated Mar 2013,143.16370797891523,81.95,81.95,100.76735988612239,54.78,54.78,32.38464070150421,17.49,17.49,92.30848830158072,66.89,66.89,29.629183682314107,60.29,60.29,57.84,2302,70.89,3,Operationally Relevant,Utilization Intelligence,Population Impact Intelligence,Disease Burden Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
1374779,New-Skin Poison Ivy,152.8778779646186,85.66,85.66,30.303953638019664,5.68,5.68,112.80486169080994,81.85,81.85,111.8416841173497,76.62,76.62,4.686901542803988,7.68,7.68,55.75,2511,65.7,3,Operationally Relevant,Utilization Intelligence,Disease Burden Intelligence,Spend Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
1376090,Clearskin Pore Penetrating Black Mineral Mask,61.086840435405534,22.83,22.83,104.23694873838924,57.12,57.12,71.06459075861562,54.98,54.98,57.18883143533314,41.58,41.58,5.788574456976733,10.05,10.05,39.37,4149,22.72,4,Limited Enterprise Impact,Spend Intelligence,Disease Burden Intelligence,Risk Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
1421002,PanaKare,151.35813305374583,85.16,85.16,20.20969744361883,2.04,2.04,57.44439319266376,42.44,42.44,20.76320063627794,9.55,9.55,19.68246655667378,42.43,42.43,40.22,4064,24.64,4,Limited Enterprise Impact,Utilization Intelligence,Disease Burden Intelligence,Spend Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
1421164,Skinmedica Purifying Foaming Wash,162.99139026366535,88.87,88.87,156.57368069172819,82.24,82.24,113.49827500988356,82.2,82.2,26.380460463009747,14.04,14.04,12.598618645326557,26.44,26.44,68.41,1251,90.59,2,Strategically Important,Utilization Intelligence,Spend Intelligence,Population Impact Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
1421548,Booty Goo,54.14287389325365,16.94,16.94,120.35827836631005,66.65,66.65,63.056591288799865,47.88,47.88,132.7141013674089,84.28,84.28,14.25651953799878,30.44,30.44,47.01,3385,41.82,3,Operationally Relevant,Population Impact Intelligence,Spend Intelligence,Utilization Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
1422175,Gonabreed,113.02019227569589,65.86,65.86,144.34108730854993,77.95,77.95,83.61180159065147,65.04,65.04,223.38155933316585,97.56,97.56,55.92442437678466,86.88,86.88,75.58,586,96.99,1,Enterprise Critical,Population Impact Intelligence,Risk Intelligence,Disease Burden Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
1422556,Phisoderm Clear Confidence Body Wash,177.94382760478535,92.36,92.36,101.89414951798733,55.57,55.57,25.4043008288343,11.13,11.13,143.9693960043496,87.24,87.24,0.75073983385667,0.47,0.47,56.96,2390,68.85,3,Operationally Relevant,Utilization Intelligence,Population Impact Intelligence,Risk Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
1423484,PancrePlus,82.86945724580207,41.95,41.95,476.40842354706376,99.98,99.98,37.16849583536447,22.2,22.2,64.14688622205375,47.47,47.47,92.36539298571785,97.26,97.26,58.87,2199,73.46,3,Operationally Relevant,Spend Intelligence,Risk Intelligence,Disease Burden Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
1423490,Phisoderm Clear Confidence Daily Gel Face Wash,93.34049656188789,51.15,51.15,260.77990711558186,97.83,97.83,78.68876696817465,61.11,61.11,81.28379586396105,60.36,60.36,1.2173444734706675,1.06,1.06,61.18,1968,78.63,2,Strategically Important,Spend Intelligence,Disease Burden Intelligence,Risk Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
1423962,Wal-Hist 12 HR Relief,112.65582743984947,65.62,65.62,114.40053131423801,63.43,63.43,173.15092841914682,95.85,95.85,34.49550780127722,21.14,21.14,14.21783251614487,30.37,30.37,60.92,1994,78.05,2,Strategically Important,Disease Burden Intelligence,Utilization Intelligence,Population Impact Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
1425175,Healthy Mama,10.71025115796973,0.12,0.12,97.79031396439107,52.74,52.74,214.72640768630762,98.72,98.72,20.846359300583288,9.62,9.62,0.4976110737099055,0.26,0.26,34.43,4641,13.47,4,Limited Enterprise Impact,Disease Burden Intelligence,Spend Intelligence,Utilization Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
1426574,Ovacyst,100.32052093575395,56.75,56.75,71.36979268637242,33.43,33.43,65.88310073648368,50.47,50.47,18.094529906424796,7.56,7.56,27.15968567426969,56.37,56.37,42.25,3861,29.31,4,Limited Enterprise Impact,Utilization Intelligence,Risk Intelligence,Population Impact Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
1427955,Welmedix Homecare Pro,103.66781439177038,59.33,59.33,32.49964837315788,6.73,6.73,38.16539655111861,23.27,23.27,83.43865709939519,61.75,61.75,28.535392143536175,58.68,58.68,39.27,4159,22.49,4,Limited Enterprise Impact,Population Impact Intelligence,Utilization Intelligence,Spend Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
1432503,Vaporex,127.87425402589845,74.79,74.79,52.96713045158867,19.43,19.43,55.975899059821884,41.03,41.03,241.10273205054128,98.3,98.3,12.832102665027003,26.98,26.98,52.94,2792,58.15,3,Operationally Relevant,Population Impact Intelligence,Utilization Intelligence,Spend Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
1432510,Baby Butz Diaper Rash,130.4080771695058,76.19,76.19,67.57781064254206,30.35,30.35,125.52756371711139,86.47,86.47,29.05172016213242,16.42,16.42,29.237542188103127,59.77,59.77,56.18,2468,66.83,3,Operationally Relevant,Disease Burden Intelligence,Utilization Intelligence,Population Impact Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
1433201,Ling Nam Ultra Balm,91.66036281300664,49.64,49.64,132.26087133991882,72.86,72.86,103.80886898421639,77.7,77.7,50.537440193445455,35.77,35.77,3.78638022028247,5.66,5.66,54.58,2628,62.65,3,Operationally Relevant,Disease Burden Intelligence,Spend Intelligence,Risk Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
1433911,Tru-micin,206.97735361538022,96.52,96.52,178.1113977939201,88.21,88.21,98.65375471863656,74.89,74.89,48.82081064847392,34.28,34.28,20.11037270047066,43.35,43.35,75.46,594,96.93,1,Enterprise Critical,Utilization Intelligence,Spend Intelligence,Population Impact Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
1435870,Phisoderm Clear Confidence Spot Treatment,60.97342318163134,22.73,22.73,71.4643815249694,33.49,33.49,81.72545777269035,63.62,63.62,117.24371089496451,78.83,78.83,15.942043614912095,34.38,34.38,43.18,3768,31.72,4,Limited Enterprise Impact,Population Impact Intelligence,Disease Burden Intelligence,Utilization Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
1437978,Fiore,141.01238128991974,81.09,81.09,94.75322214562063,50.49,50.49,98.73610222672319,74.94,74.94,132.60819103663866,84.23,84.23,31.93515194989898,63.72,63.72,70.94,1005,93.49,2,Strategically Important,Population Impact Intelligence,Utilization Intelligence,Spend Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
1439904,Verrustat,22.571667616772213,1.25,1.25,90.33500952499695,47.4,47.4,147.63659077980026,92.01,92.01,16.07956640134207,6.16,6.16,22.62936539875765,48.35,48.35,36.39,4447,16.71,4,Limited Enterprise Impact,Disease Burden Intelligence,Risk Intelligence,Utilization Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
1441549,Derma Gran,96.65571115973711,53.85,53.85,143.09981575112153,77.5,77.5,39.397644747609704,24.42,24.42,79.34669322976048,59.02,59.02,10.55374491462337,21.47,21.47,51.41,2945,53.97,3,Operationally Relevant,Spend Intelligence,Population Impact Intelligence,Risk Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
1441559,Head & Shoulders Damage Treatment,19.773598744650073,0.84,0.84,11.194123957350403,0.43,0.43,148.55936681878768,92.19,92.19,10.062697063528589,2.7,2.7,4.756714897760877,7.84,7.84,19.99,5900,1.01,4,Limited Enterprise Impact,Disease Burden Intelligence,Risk Intelligence,Spend Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
1442401,Keralyt 5,100.03921057092519,56.57,56.57,138.53608508767465,75.56,75.56,79.37423203542184,61.64,61.64,34.25675645802633,20.97,20.97,55.89931345436699,86.86,86.86,60.02,2084,76.06,2,Strategically Important,Risk Intelligence,Spend Intelligence,Population Impact Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
1442710,Zit Stick,118.98879665668967,69.84,69.84,26.988768375205357,4.36,4.36,237.19116703935012,99.31,99.31,55.69483728347567,40.23,40.23,28.57781652974687,58.74,58.74,53.81,2705,60.63,3,Operationally Relevant,Disease Burden Intelligence,Utilization Intelligence,Spend Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
1482675,Diaderm,78.96325974824829,38.62,38.62,54.885919806842125,20.74,20.74,59.24817765226059,44.28,44.28,34.13205795369838,20.87,20.87,61.585088608916,89.67,89.67,37.72,4314,19.3,4,Limited Enterprise Impact,Risk Intelligence,Disease Burden Intelligence,Spend Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
